,0,original,paredao
547,"Para o jogo do @Aguiarthur seria mais conveniente o Gustavo sair, porem a luta do Arthur desdo inicio e o quarto Lollipop que foi onde mais atacaram ele. Por essa analise de jogo sou #ForaViny mesmo o Gustavo sendo mais perigoso e manipulador. O quarto quer mais um resposta #bbb","Para o jogo do @Aguiarthur seria mais conveniente o Gustavo sair, porem a luta do Arthur desdo inicio e o quarto Lollipop que foi onde mais atacaram ele. Por essa analise de jogo sou #ForaViny mesmo o Gustavo sendo mais perigoso e manipulador. O quarto quer mais um resposta #bbb",#foravyni
548,"Vivendo pela odd do Viny na bet365 
BOM DIAAAAA #bbb22 #ForaViny","Vivendo pela odd do Viny na bet365 
BOM DIAAAAA #bbb22 #ForaViny",#foravyni
551,indo ver o bbb de ontem pq achei o paredao interessante. #ForaVyni,indo ver o bbb de ontem pq achei o paredao interessante. #ForaVyni,#foravyni
553,"RT @rickbitch: E agora Scooby, a mesma coisa.. ele disse: ""eu fui convidado, se perguntar para todos os camarotes, ninguem nunca teve vonta...","RT @rickbitch: E agora Scooby, a mesma coisa.. ele disse: ""eu fui convidado, se perguntar para todos os camarotes, ninguem nunca teve vonta...",
554,"RT @mateusachel: O Tadeu na eliminacao do Viny 
#BBB22 #ForaViny https://t.co/rGHwToTB9E","RT @mateusachel: O Tadeu na eliminacao do Viny 
#BBB22 #ForaViny https://t.co/rGHwToTB9E",#foravyni
559,@Dantinhas A torcida do Arthur deveria puxar um #ForaGustavo,@Dantinhas A torcida do Arthur deveria puxar um #ForaGustavo,#foragustavo
561,"@Lorelay_Fox Ano que vem, sem camarote Big boss. Eu voto pro Scooby sair o discurso foi lamentavel. Essa indiferenca no BBB... Seria legal ver o grupo Disney abalado. Vyni e planta master mas Scooby ta nem ai pro game essa real #ForaScooby #BBB22","@Lorelay_Fox Ano que vem, sem camarote Big boss. Eu voto pro Scooby sair o discurso foi lamentavel. Essa indiferenca no BBB... Seria legal ver o grupo Disney abalado. Vyni e planta master mas Scooby ta nem ai pro game essa real #ForaScooby #BBB22",#forascooby
562,"O povo tem odio do @Aguiarthur pelo fato o que fez com sua aqui fora, mesmo sabendo que eles se acertaram. Ninguem tem nada a ver com ISSO. E nao vem com essa de comparacao se fosse mulher. #BBB222 #BBBB22 #ParedaoBBB22 #FORAVYNI","O povo tem odio do @Aguiarthur pelo fato o que fez com sua aqui fora, mesmo sabendo que eles se acertaram. Ninguem tem nada a ver com ISSO. E nao vem com essa de comparacao se fosse mulher. #BBB222 #BBBB22 #ParedaoBBB22 #FORAVYNI",#foravyni
563,"RT @vyniof:  MUTIRAO CALMA E O CACETE INICIADO

 A cada 10 votos comentem um emoji nesse tweet

 Meta: 300 comentarios

 Encerramento...","RT @vyniof:  MUTIRAO CALMA E O CACETE INICIADO

 A cada 10 votos comentem um emoji nesse tweet

 Meta: 300 comentarios

 Encerramento...",
564,"Vyni so tem uma visao: pessoa iludida que corre atras de quem nao esta nem ai para ele, diz que tem personalidade forte, nao entrega e nao agrega em nada, tropeca mais aqui fora Vyni. #ForaVyni #BBB222 

 https://t.co/dn11TfgWUf","Vyni so tem uma visao: pessoa iludida que corre atras de quem nao esta nem ai para ele, diz que tem personalidade forte, nao entrega e nao agrega em nada, tropeca mais aqui fora Vyni. #ForaVyni #BBB222 

 https://t.co/dn11TfgWUf",#foravyni
565,RT @CentralReaIity: RT nesse tweet se voce for #ForaVyni https://t.co/ElqtG5mGIJ,RT @CentralReaIity: RT nesse tweet se voce for #ForaVyni https://t.co/ElqtG5mGIJ,#foravyni
566,"Verdade. Voce nao brilhou sozinho, nem em grupo. #ForaViny https://t.co/O4veh7X7tB","Verdade. Voce nao brilhou sozinho, nem em grupo. #ForaViny https://t.co/O4veh7X7tB",#foravyni
567,@UOLtvefamosos Cara sem graca! Escroto e nojento!! Ja pode sair! #ForaScooby,@UOLtvefamosos Cara sem graca! Escroto e nojento!! Ja pode sair! #ForaScooby,#forascooby
568,"@cec_deia @vaidesmaiar Bom gente, so um participante la dentro disse todas as frases: Posso me vetar? Posso votar em mim mesmo, Tadeu? Nossa, queria sair p/pular Carnaval. Nossa, queria sair, imagina uma Sapucai agora...
Mas dadas as circunstancias de ranco, bora de #ForaViny #ForaScooby","@cec_deia @vaidesmaiar Bom gente, so um participante la dentro disse todas as frases: Posso me vetar? Posso votar em mim mesmo, Tadeu? Nossa, queria sair p/pular Carnaval. Nossa, queria sair, imagina uma Sapucai agora...
Mas dadas as circunstancias de ranco, bora de #ForaViny #ForaScooby",#foravyni
570,"Entre Scooby e Viny eu sou #ForaViny ,o menino sem graca.#BBB222","Entre Scooby e Viny eu sou #ForaViny ,o menino sem graca.#BBB222",#foravyni
573,"#ForaGustavo e #forascobby  e foi ta qualquer bolsominion
#FicaVyni","#ForaGustavo e #forascobby  e foi ta qualquer bolsominion
#FicaVyni",#foragustavo
574,"@Aguiarthur #ForaVyni mais coerente vyni sair pq Gustavo joga sozinho nao tem forca contra o Arthur, ja o lollipop quer mandar ele embora","@Aguiarthur #ForaVyni mais coerente vyni sair pq Gustavo joga sozinho nao tem forca contra o Arthur, ja o lollipop quer mandar ele embora",#foravyni
575,@thiwitter Ahhhhh.... Eu vou de #ForaVyni menos um lollipoper,@thiwitter Ahhhhh.... Eu vou de #ForaVyni menos um lollipoper,#foravyni
576,"Meu Deus q vergonha! Ele tem que sair nao por falta de merecimento, tinha q interditar essas gay que fica atras de hetero, pelo amor de Deus que ano e hoje! #BBB #ForaViny https://t.co/hNc68dfIIK","Meu Deus q vergonha! Ele tem que sair nao por falta de merecimento, tinha q interditar essas gay que fica atras de hetero, pelo amor de Deus que ano e hoje! #BBB #ForaViny https://t.co/hNc68dfIIK",#foravyni
578,So quem e #ForaVyni da RT aqui,So quem e #ForaVyni da RT aqui,#foravyni
579,"O capacho foi la e fez hahaha por essas e outras que tem que sair do programa

#ForaViny https://t.co/V1VqQlIScJ","O capacho foi la e fez hahaha por essas e outras que tem que sair do programa

#ForaViny https://t.co/V1VqQlIScJ",#foravyni
584,Torcida de milhoes! #ForaVyni #BBB22 https://t.co/YmzT3cdCpR,Torcida de milhoes! #ForaVyni #BBB22 https://t.co/YmzT3cdCpR,#foravyni
587,"@tiamaoficial Ele nao merece, mas ter que assistir o Viny e muito pior... portanto #ForaViny","@tiamaoficial Ele nao merece, mas ter que assistir o Viny e muito pior... portanto #ForaViny",#foravyni
588,RT @glsuai: O voto e para eliminar foco no gshow! #BBB22 #ForaVyni https://t.co/k7HOdAYDAF,RT @glsuai: O voto e para eliminar foco no gshow! #BBB22 #ForaVyni https://t.co/k7HOdAYDAF,#foravyni
589,"Continuando a saga dos Pirulitos saindo do #BBB22, dessa vez sou #ForaViny que nao faz nada alem de lamber saco do Eli","Continuando a saga dos Pirulitos saindo do #BBB22, dessa vez sou #ForaViny que nao faz nada alem de lamber saco do Eli",#foravyni
593,"RT @JeehLangowski: ATENCAO: SCOOBY ANUNCIA QUE TODOS SERAM POSSIBILIDADES DE VOTO MENOS OS 3, VULGO NOSSA DISNEY !!! #BBB22 #FICASCOOBY #FO...","RT @JeehLangowski: ATENCAO: SCOOBY ANUNCIA QUE TODOS SERAM POSSIBILIDADES DE VOTO MENOS OS 3, VULGO NOSSA DISNEY !!! #BBB22 #FICASCOOBY #FO...",
594,@tiamaoficial Nao merece. #ForaScooby,@tiamaoficial Nao merece. #ForaScooby,#forascooby
595,"RT @gustavo_beats:  MUTIRAO BABY 95 INICIADO 

 A cada 10 votos comentem um emoji

 Encerra as 10h

 O voto e para ELIMINAR, votem no...","RT @gustavo_beats:  MUTIRAO BABY 95 INICIADO 

 A cada 10 votos comentem um emoji

 Encerra as 10h

 O voto e para ELIMINAR, votem no...",
598,"RT @Lipecomenta_: Gustavo fez bem em contra golpear Viny, ele iria chegar muito longe, ninguem mandaria ele. Ainda bem que vamos nos livrar...","RT @Lipecomenta_: Gustavo fez bem em contra golpear Viny, ele iria chegar muito longe, ninguem mandaria ele. Ainda bem que vamos nos livrar...",
603,"Eu prefiro mil vezes aguentar mais uma semana do Gado Gustavo, pq sim, ele nos proporciona paredoes que antes nem eram cogitados.
Do que aguentar mais uma semana desse mirim sem graca Viny. #BBB22 #ForaViny","Eu prefiro mil vezes aguentar mais uma semana do Gado Gustavo, pq sim, ele nos proporciona paredoes que antes nem eram cogitados.
Do que aguentar mais uma semana desse mirim sem graca Viny. #BBB22 #ForaViny",#foravyni
604,Vyni embaixador do Prazer Brasileiro kkkkk #bbb #bbb22 #redbbb #foraVyni #gshow #tvglobo #redbbb @boninho,Vyni embaixador do Prazer Brasileiro kkkkk #bbb #bbb22 #redbbb #foraVyni #gshow #tvglobo #redbbb @boninho,#foravyni
605,"nao estou mais assistindo (: porem, tchau Viny! So para ver, o que fez e deixou de fazer por conta dessa relacao que ele criou!

#ForaViny 
#BBB22","nao estou mais assistindo (: porem, tchau Viny! So para ver, o que fez e deixou de fazer por conta dessa relacao que ele criou!

#ForaViny 
#BBB22",#foravyni
608,@forumpandlr Vamooo  #ForaVyni  Ajudar esse rapaz a nao pagar tanto mico mais em rede nacional,@forumpandlr Vamooo  #ForaVyni  Ajudar esse rapaz a nao pagar tanto mico mais em rede nacional,#foravyni
610,"E mais uma vez o plano Lolipop foi por agua abaixo. Queriam o DG em um paredao com Scooby e mais alguem. Pro DG ser eliminado. Ele se livrou, ganhou um carro na cara deles, e de quebra vao ter que assistir o ""pao com ovo do Viny"" ser eliminado na terca!
#BBB22 #ForaVyni #lolipop","E mais uma vez o plano Lolipop foi por agua abaixo. Queriam o DG em um paredao com Scooby e mais alguem. Pro DG ser eliminado. Ele se livrou, ganhou um carro na cara deles, e de quebra vao ter que assistir o ""pao com ovo do Viny"" ser eliminado na terca!
#BBB22 #ForaVyni #lolipop",#foravyni
612,@PedroScooby #ForaVyni com forca! https://t.co/DWHm8tS3Wz,@PedroScooby #ForaVyni com forca! https://t.co/DWHm8tS3Wz,#foravyni
615,"Bom dia, Brasil! E #ForaScooby com forca! #BBB22","Bom dia, Brasil! E #ForaScooby com forca! #BBB22",#forascooby
618,@Jujucactos Kkk #ForaViny com forca. Queremos manter o alto indice de rejeicao deste quarto.,@Jujucactos Kkk #ForaViny com forca. Queremos manter o alto indice de rejeicao deste quarto.,#foravyni
619,RT @grudinhos: Parece que mais uma vez a estrategia do lollipop nao deu certo! #ForaViny,RT @grudinhos: Parece que mais uma vez a estrategia do lollipop nao deu certo! #ForaViny,#foravyni
620,"RT @OSumido: Por aqui estava definido.
#ForaGustavo ...
Mas o Viny veio pro paredao.
Uma vez que TODOS SABEMOS DA REJEICAO DO Viny. 
Entao...","RT @OSumido: Por aqui estava definido.
#ForaGustavo ...
Mas o Viny veio pro paredao.
Uma vez que TODOS SABEMOS DA REJEICAO DO Viny. 
Entao...",#foragustavo
622,RT @THIAGAOAGUIAR: Eu sou muito #ForaViny mano mas esse otario do Scooby nao merecia nem ter entrando nessa merd@ to pooooooota que ele ter...,RT @THIAGAOAGUIAR: Eu sou muito #ForaViny mano mas esse otario do Scooby nao merecia nem ter entrando nessa merd@ to pooooooota que ele ter...,#foravyni
623,"RT @VictorPecoraro1: Como o Viny e irritante no ao vivo, e como so assisto o ao vivo, prefiro que ele saia! Chega de forcacao de barra! #fo...","RT @VictorPecoraro1: Como o Viny e irritante no ao vivo, e como so assisto o ao vivo, prefiro que ele saia! Chega de forcacao de barra! #fo...",
624,"Pra mim e #ForaLucas o influenciavel e abestado! #ForaGustavo , o falso e banana! #ForaVyni , acha q ta arrasando atras do Eli. #ForaEliezer , interesseiro e oportunistas. Se juntou as meninas por oportunidade. Julga que elas sejam fortes. Usa a #ForaNathalia pra passar melhor","Pra mim e #ForaLucas o influenciavel e abestado! #ForaGustavo , o falso e banana! #ForaVyni , acha q ta arrasando atras do Eli. #ForaEliezer , interesseiro e oportunistas. Se juntou as meninas por oportunidade. Julga que elas sejam fortes. Usa a #ForaNathalia pra passar melhor",#foraeli
625,@RealitysVip O SCOOBY e BOLSOMINION!!! #ForaScooby #bbb22,@RealitysVip O SCOOBY e BOLSOMINION!!! #ForaScooby #bbb22,#forascooby
628,RT @cherryttoxic: bom dia e #ForaViny https://t.co/RRpyuOrqFk,RT @cherryttoxic: bom dia e #ForaViny https://t.co/RRpyuOrqFk,#foravyni
630,RT @gleiciii_: Gustavo ja eliminou uma planta (Bruna) agora ira eliminar outra. Nao aguento mais o capacho do Eli na minha tv. Sou #ForaVin...,RT @gleiciii_: Gustavo ja eliminou uma planta (Bruna) agora ira eliminar outra. Nao aguento mais o capacho do Eli na minha tv. Sou #ForaVin...,
633,"@Aguiarthur #FORAVINY pra continuara eliminar o lollipop,  pois eles so os unicos que concordam em votar unidos","@Aguiarthur #FORAVINY pra continuara eliminar o lollipop,  pois eles so os unicos que concordam em votar unidos",#foravyni
635,RT @eltincrf: voces estao votando? O paredao ta facil mas nunca se sabe #ForaVyni https://t.co/OTCHAa7NAy,RT @eltincrf: voces estao votando? O paredao ta facil mas nunca se sabe #ForaVyni https://t.co/OTCHAa7NAy,#foravyni
636,"RT @dedioficial_: Desejo muito boa sorte pra voce, Viny, aqui fora com seus 4M de seguidores no Instagram, mas hoje meu voto e nao

#ForaVy...","RT @dedioficial_: Desejo muito boa sorte pra voce, Viny, aqui fora com seus 4M de seguidores no Instagram, mas hoje meu voto e nao

#ForaVy...",
637,chega de tortura visual com essas vergonhas q a gente assiste #ForaViny https://t.co/akKQxnApom,chega de tortura visual com essas vergonhas q a gente assiste #ForaViny https://t.co/akKQxnApom,#foravyni
639,"RT @Lipecomenta_: Meu posicionamento e total #ForaViny 

O exterminio do lollipop precisa continuar ,deixem Gustavo se queimando mas um pou...","RT @Lipecomenta_: Meu posicionamento e total #ForaViny 

O exterminio do lollipop precisa continuar ,deixem Gustavo se queimando mas um pou...",#foravyni
640,"Qual a dificuldade que a galera tem de entender que o @PedroScooby gosta de levar a vida mais leve? E o jeito dele, nao e que ele nao esteja nem ai pro jogo, pelo contrario ele esta ai sim e muito!!!
So que escolheu levar de boa as decisoes da vida. #BBB222 
#ForaViny","Qual a dificuldade que a galera tem de entender que o @PedroScooby gosta de levar a vida mais leve? E o jeito dele, nao e que ele nao esteja nem ai pro jogo, pelo contrario ele esta ai sim e muito!!!
So que escolheu levar de boa as decisoes da vida. #BBB222 
#ForaViny",#foravyni
641,"@brunnagoncalves Leva ele pro Numanice e fica tudo resolvido, mas e #ForaVyni com forca","@brunnagoncalves Leva ele pro Numanice e fica tudo resolvido, mas e #ForaVyni com forca",#foravyni
644,RT @VeronnaL: MARAVILHOSO  #FicaScooby #ForaViny https://t.co/sglPm4LGIn,RT @VeronnaL: MARAVILHOSO  #FicaScooby #ForaViny https://t.co/sglPm4LGIn,#foravyni
645,Chegou a hora #ForaVyni,Chegou a hora #ForaVyni,#foravyni
646,"@mariaa_comenta Nasaaaao, dessa vez e #ForaViny","@mariaa_comenta Nasaaaao, dessa vez e #ForaViny",#foravyni
648,"Dificil intender que 3le ficou indignado com discurso e nao com indicacao?
#BBB22 #ParedaoBBB22  #ForaViny  #FicaScooby  @bbb https://t.co/bSU6CyKFCu","Dificil intender que 3le ficou indignado com discurso e nao com indicacao?
#BBB22 #ParedaoBBB22  #ForaViny  #FicaScooby  @bbb https://t.co/bSU6CyKFCu",#foravyni
650,Quem n e #foravyni e maluco,Quem n e #foravyni e maluco,#foravyni
651,"Viny no paredao?
Entao sou #ForaViny obviamente 
#BBB22 https://t.co/4YCIdr8vdY","Viny no paredao?
Entao sou #ForaViny obviamente 
#BBB22 https://t.co/4YCIdr8vdY",#foravyni
652,@littleangelllx @AbelVtzeiro #foravyni meu scooby lerdao tem que ficar,@littleangelllx @AbelVtzeiro #foravyni meu scooby lerdao tem que ficar,#foravyni
653,"Quem e o doente que acha que o Lucas ta sendo influenciado pela eslo so por que ele quis colocar o Scooby ? 
Alguem avisa que PA Scooby e DG nao joga porra nenhuma , e tipo vinny whoo 
Vai toma no cu // Scooby e Arthur //#ForaScooby e #ForaScooby","Quem e o doente que acha que o Lucas ta sendo influenciado pela eslo so por que ele quis colocar o Scooby ? 
Alguem avisa que PA Scooby e DG nao joga porra nenhuma , e tipo vinny whoo 
Vai toma no cu // Scooby e Arthur //#ForaScooby e #ForaScooby",#forascooby
654,"Todos somos #ForaVyni, ne?","Todos somos #ForaVyni, ne?",#foravyni
655,@rai_oliveiraa E o meu voto e pronto  #ForaScooby,@rai_oliveiraa E o meu voto e pronto  #ForaScooby,#forascooby
658,"RT @Ellendotarot: Scooby ta puto pq Lucas falou q ele menospreza o programa e nao queria estar ali.

""Bom q da pra curtir o carnaval.""
""Pos...","RT @Ellendotarot: Scooby ta puto pq Lucas falou q ele menospreza o programa e nao queria estar ali.

""Bom q da pra curtir o carnaval.""
""Pos...",
662,Acho um absurdo o Viny sair do #BBB22 antes do Eliezer. Galera fala de remover as plantas e vao deixar k Scooby la. #RedeBBB #ForaScooby,Acho um absurdo o Viny sair do #BBB22 antes do Eliezer. Galera fala de remover as plantas e vao deixar k Scooby la. #RedeBBB #ForaScooby,#forascooby
666,RT @brunoprodrigues: O Scooby nao quer ficar no programa e vao eliminar o Vyni pq voce tem birra com ele?! Realmente! #BBB22 #FicaVyni #Fo...,RT @brunoprodrigues: O Scooby nao quer ficar no programa e vao eliminar o Vyni pq voce tem birra com ele?! Realmente! #BBB22 #FicaVyni #Fo...,
668,eu e huanna desde 6h da manha conversando sem parar ja falamos de todos os topicos possiveis e larga voto no #ForaVyni,eu e huanna desde 6h da manha conversando sem parar ja falamos de todos os topicos possiveis e larga voto no #ForaVyni,#foravyni
670,Bom dia e vamos de #ForaVyni,Bom dia e vamos de #ForaVyni,#foravyni
671,@vyniof Que ele venca na vida mais que sai do bbb pq la nao entrega nada #ForaViny,@vyniof Que ele venca na vida mais que sai do bbb pq la nao entrega nada #ForaViny,#foravyni
672,"RT @rubbygabrielly: quando eu nasci eu nao chorei, eu dei um #FORAVYNI no medico! #FORAVYNI e minha vida e se eu nao mando #FORAVYNI  nao h...","RT @rubbygabrielly: quando eu nasci eu nao chorei, eu dei um #FORAVYNI no medico! #FORAVYNI e minha vida e se eu nao mando #FORAVYNI  nao h...",#foravyni
674,#ForaViny forcado do crl,#ForaViny forcado do crl,#foravyni
675,"RT @NandaTilly: Quem n puder doar, curtir, compartilhar e comentar tambem ajuda. Por favor!

Deus abencoe voces e uma abencoada semana, se...","RT @NandaTilly: Quem n puder doar, curtir, compartilhar e comentar tambem ajuda. Por favor!

Deus abencoe voces e uma abencoada semana, se...",
676,"Se alguem tinha alguma duvida se era #ForaViny, ta ai o motivo pra ser. Credo. https://t.co/ktz1S4FSeZ","Se alguem tinha alguma duvida se era #ForaViny, ta ai o motivo pra ser. Credo. https://t.co/ktz1S4FSeZ",#foravyni
678,@cleo #ForaViny  com certeza ja deu bebe vetezao!,@cleo #ForaViny  com certeza ja deu bebe vetezao!,#foravyni
679,pq a galera ta sendo #ForaGustavo nera melhor ser #ForaScooby ?,pq a galera ta sendo #ForaGustavo nera melhor ser #ForaScooby ?,#foragustavo
684,"@PauloRiccardo_9 Bah... Tenho ranco do Scooby e Gustavo, mas o planta forcada do Viny nao da. Tem que sair! #ForaViny","@PauloRiccardo_9 Bah... Tenho ranco do Scooby e Gustavo, mas o planta forcada do Viny nao da. Tem que sair! #ForaViny",#foravyni
685,"O Viny precisa urgente fazer terapia, e pela saude mental dele eu sou #ForaViny","O Viny precisa urgente fazer terapia, e pela saude mental dele eu sou #ForaViny",#foravyni
687,"O bbb e um jogo, querendo ou nao e um jogo, as pessoas que precisam da grana deveriam saber jogar, infelizmente muitos se deixam levar e perdem o fogo da parada, o publico n perdoa, vem tentar aqui fora viny pq tua estadia ai ja deu
#ForaViny","O bbb e um jogo, querendo ou nao e um jogo, as pessoas que precisam da grana deveriam saber jogar, infelizmente muitos se deixam levar e perdem o fogo da parada, o publico n perdoa, vem tentar aqui fora viny pq tua estadia ai ja deu
#ForaViny",#foravyni
688,"RT @MobileNeumar: @marthins_c @HugoGloss TEM OUTRO BBB?
Ele diz que nao joga, levou varias broncas do Tadeu, ate um DECEPCIONADO e engoliu....","RT @MobileNeumar: @marthins_c @HugoGloss TEM OUTRO BBB?
Ele diz que nao joga, levou varias broncas do Tadeu, ate um DECEPCIONADO e engoliu....",
689,RT @perfildoneto: Cumprindo meu papel de cidadao #ForaViny https://t.co/KmAxFXSlZD,RT @perfildoneto: Cumprindo meu papel de cidadao #ForaViny https://t.co/KmAxFXSlZD,#foravyni
690,"8deg Paredao
* Parcial 9h20
#ForaVyni  78,6%
#ForaGustavo  11,5%
#ForaScooby  9,9%","8deg Paredao
* Parcial 9h20
#ForaVyni  78,6%
#ForaGustavo  11,5%
#ForaScooby  9,9%",#foravyni
692,"RT @fabiogaj: Nesse paredao eu sou #ForaScooby. Embora o Vyni seja um participante MALA, o Scooby nao e comprometido com o programa e ta ai...","RT @fabiogaj: Nesse paredao eu sou #ForaScooby. Embora o Vyni seja um participante MALA, o Scooby nao e comprometido com o programa e ta ai...",#forascooby
693,"Viny se perdeu demais, esta ficando coodependente do Ely de todo jeito, Viny esta se diminuindo demais por causa dessa paixao ""nao correspondida"". Por isso sou  #ForaViny #RedeBBB #BBB22","Viny se perdeu demais, esta ficando coodependente do Ely de todo jeito, Viny esta se diminuindo demais por causa dessa paixao ""nao correspondida"". Por isso sou  #ForaViny #RedeBBB #BBB22",#foravyni
694,@PortalLagusta Muito #ForaViny,@PortalLagusta Muito #ForaViny,#foravyni
696,"Playboy pagando de pobre, de pipoca e tal !!! Fazendo medicina em faculdade particular !! Viajando pelo mundo ! E se fazendo de Pipoca que precisa demais do dinheiro! Te liga Mano!! #BBB22 caiu a dele ontem !!! Baita trouxa #ForaVyni ou #ForaGustavo !!! E o que tem !! https://t.co/3FRqec5rFo","Playboy pagando de pobre, de pipoca e tal !!! Fazendo medicina em faculdade particular !! Viajando pelo mundo ! E se fazendo de Pipoca que precisa demais do dinheiro! Te liga Mano!! #BBB22 caiu a dele ontem !!! Baita trouxa #ForaVyni ou #ForaGustavo !!! E o que tem !! https://t.co/3FRqec5rFo",#foravyni
698,"RT @AAlgumlugar: @lonelyboyjf Vamos de #ForaScooby besse paredao, se td mundo se organizar direito e focar no gshow tem mt chances do Scoob...","RT @AAlgumlugar: @lonelyboyjf Vamos de #ForaScooby besse paredao, se td mundo se organizar direito e focar no gshow tem mt chances do Scoob...",#forascooby
700,"@crisayonara Tirar alguem q quer estar na casa, mesmo com seus defeitos e deixar quem ta cagando pro jogo e ainda se desfaz das questoes das pessoas, mostra bem pra onde o mundo caminha... #ForaScooby","@crisayonara Tirar alguem q quer estar na casa, mesmo com seus defeitos e deixar quem ta cagando pro jogo e ainda se desfaz das questoes das pessoas, mostra bem pra onde o mundo caminha... #ForaScooby",#forascooby
701,"RT @jair_fora: 5 Motivos para tirar Scooby. #ForaScooby

1deg  Apoia o presidente Jair M. Bolsonaro.
2deg Acha que esta em uma colonia de feria...","RT @jair_fora: 5 Motivos para tirar Scooby. #ForaScooby

1deg  Apoia o presidente Jair M. Bolsonaro.
2deg Acha que esta em uma colonia de feria...",#forascooby
704,"Por isso eu sou #ForaVyni.

Ta sendo detonado aqui fora em todos os grupos, nao sei se e carencia ou se ta vislumbrado pela ""fama"" de estar na TV, mas ele precisa dum suporte profissional da Globo pra se ajeitar e suportar o backlash aqui fora. Virou chaveirinho de hetero total. https://t.co/oWuOctQAUw","Por isso eu sou #ForaVyni.

Ta sendo detonado aqui fora em todos os grupos, nao sei se e carencia ou se ta vislumbrado pela ""fama"" de estar na TV, mas ele precisa dum suporte profissional da Globo pra se ajeitar e suportar o backlash aqui fora. Virou chaveirinho de hetero total. https://t.co/oWuOctQAUw",#foravyni
705,"Nem segurando uma melancia o dia todo, Viny conseguiu aparecer no jogo HAHAHAHA
VEM TROPECAR AQUI FORA, PEGADOR DE CAMISINHA
#ForaViny","Nem segurando uma melancia o dia todo, Viny conseguiu aparecer no jogo HAHAHAHA
VEM TROPECAR AQUI FORA, PEGADOR DE CAMISINHA
#ForaViny",#foravyni
706,"@wellwrs Tatica pra proteger Lais. Por isso,  #ForaGustavo","@wellwrs Tatica pra proteger Lais. Por isso,  #ForaGustavo",#foragustavo
709,"RT @rrrezinha: Scooby acaba de informar que se for lider, so coloca DG, PA e Arthur no VIP, que percebeu que o Gustavo esta se posicionando...","RT @rrrezinha: Scooby acaba de informar que se for lider, so coloca DG, PA e Arthur no VIP, que percebeu que o Gustavo esta se posicionando...",
710,Proximo tropeco do Viny e pra cair do lado de fora do projac #ForaViny,Proximo tropeco do Viny e pra cair do lado de fora do projac #ForaViny,#foravyni
711,"RT @DaisePereira: A @Naiarazevedo foi eliminada pelo mesmo comportamento 
A @a_jessilane e massacrada por ter o mesmo pensamento, nao combi...","RT @DaisePereira: A @Naiarazevedo foi eliminada pelo mesmo comportamento 
A @a_jessilane e massacrada por ter o mesmo pensamento, nao combi...",
712,"ja que dentro ou fora nao faz diferenca #ForaScooby 

deixa o insuportavel do Vyni mais uma semana . 

#BBB22","ja que dentro ou fora nao faz diferenca #ForaScooby 

deixa o insuportavel do Vyni mais uma semana . 

#BBB22",#forascooby
713,"@brunnagoncalves Apesar dele ser um chato, sou #ForaScooby","@brunnagoncalves Apesar dele ser um chato, sou #ForaScooby",#forascooby
715,"@FCDouglasSilva Nao....#ForaGustavo .desse jeito, Gustavo vai estar na final e protegendo a Lais","@FCDouglasSilva Nao....#ForaGustavo .desse jeito, Gustavo vai estar na final e protegendo a Lais",#foragustavo
716,"@Nandacnramos @BrizollaGermano @dealady @MilaMansurr @CentralReaIity EXATAMENTE! O Lucas articulou sorrateiramente pra q os seus aliados fossem no Thiago, ate q enfim agm entendeu isso e jogou na cara dele, o cara se faz sonso, faz jogo duplo, e falso, e ainda quer sair como se estivesse certo. VSF! 

#FORAESLOVENIA #ForaLais #ForaGustavo","@Nandacnramos @BrizollaGermano @dealady @MilaMansurr @CentralReaIity EXATAMENTE! O Lucas articulou sorrateiramente pra q os seus aliados fossem no Thiago, ate q enfim agm entendeu isso e jogou na cara dele, o cara se faz sonso, faz jogo duplo, e falso, e ainda quer sair como se estivesse certo. VSF! 

#FORAESLOVENIA #ForaLais #ForaGustavo",#foraeslo
718,@bchartsnet paciencia tem limite. chega de gente forcada nessa casa!  #ForaViny,@bchartsnet paciencia tem limite. chega de gente forcada nessa casa!  #ForaViny,#foravyni
722,RT @allfont: @GilDoVigor Absurdo esse massacre contra o @vyniof !! Sera q se fosse um gay do sul ou sudeste fazendo piada sem graca o povo...,RT @allfont: @GilDoVigor Absurdo esse massacre contra o @vyniof !! Sera q se fosse um gay do sul ou sudeste fazendo piada sem graca o povo...,
724,Bom day e #ForaViny,Bom day e #ForaViny,#foravyni
726,"Eu sou muito contra o Viny ou Gustavo sair sendo que tem o Scooby no paredao. O cara nao joga ta de saco cheio da casa e cresce pra cima de todo mundo quando e contrariado.
#BBB22  #ForaScooby https://t.co/SNq3astNrA","Eu sou muito contra o Viny ou Gustavo sair sendo que tem o Scooby no paredao. O cara nao joga ta de saco cheio da casa e cresce pra cima de todo mundo quando e contrariado.
#BBB22  #ForaScooby https://t.co/SNq3astNrA",#forascooby
730,"@PaolaDeboche Bom dia, boa semana pra todos nos 
Votando #ForaViny","@PaolaDeboche Bom dia, boa semana pra todos nos 
Votando #ForaViny",#foravyni
